date,code,name,open,close,high,low,volume
2022-06-17,301156,美农生物,20.13,18.22,20.68,18.21,416493056.0
2022-06-20,301156,美农生物,17.09,19.91,19.96,16.88,405099280.0
2022-06-21,301156,美农生物,20.17,19.13,22.14,19.08,473345040.0
2022-06-22,301156,美农生物,18.13,17.44,18.8,17.32,341561840.0
2022-06-23,301156,美农生物,17.02,17.15,17.63,16.64,245907977.0
2022-06-24,301156,美农生物,16.88,16.7,17.25,16.7,182045371.0
2022-06-27,301156,美农生物,16.45,17.04,17.14,16.45,172621037.0
2022-06-28,301156,美农生物,16.84,16.71,16.94,16.5,150596335.0
2022-06-29,301156,美农生物,16.55,15.89,16.73,15.87,136968598.0
2022-06-30,301156,美农生物,15.79,15.98,16.04,15.76,89445055.0
2022-07-01,301156,美农生物,16.46,16.43,16.97,16.4,191928648.0
2022-07-04,301156,美农生物,15.88,17.31,17.37,15.88,227225563.0
2022-07-05,301156,美农生物,16.78,16.26,16.83,16.07,166815444.0
2022-07-06,301156,美农生物,15.99,15.7,16.24,15.62,99483223.0
2022-07-07,301156,美农生物,15.66,15.55,15.88,15.48,70442008.0
2022-07-08,301156,美农生物,15.41,15.5,15.66,15.41,55184712.0
2022-07-11,301156,美农生物,15.51,15.59,15.99,15.4,55010335.0
2022-07-12,301156,美农生物,15.35,15.45,15.66,15.34,43243352.0
2022-07-13,301156,美农生物,15.4,15.24,15.48,15.15,50910047.0
2022-07-14,301156,美农生物,15.21,15.59,15.74,15.07,73829923.0
2022-07-15,301156,美农生物,15.48,15.47,15.77,15.46,66421967.0
2022-07-18,301156,美农生物,15.68,15.74,15.79,15.5,58047654.0
2022-07-19,301156,美农生物,15.73,15.69,15.84,15.51,53959037.0
2022-07-20,301156,美农生物,15.68,15.75,15.89,15.62,57824886.0
2022-07-21,301156,美农生物,15.68,15.52,15.79,15.51,51957293.0
2022-07-22,301156,美农生物,15.51,15.27,15.7,15.13,43247833.0
2022-07-25,301156,美农生物,15.19,15.35,15.35,15.12,33699609.0
2022-07-26,301156,美农生物,15.59,15.35,15.6,15.24,31272968.0
2022-07-27,301156,美农生物,15.24,15.44,15.45,15.24,33844148.0
2022-07-28,301156,美农生物,15.42,15.36,15.61,15.32,40154644.0
2022-07-29,301156,美农生物,15.36,15.24,15.52,15.23,42159605.0
2022-08-01,301156,美农生物,15.17,15.23,15.23,14.93,37537335.0
2022-08-02,301156,美农生物,15.07,14.15,15.11,14.04,53467181.0
2022-08-03,301156,美农生物,14.18,14.08,14.41,14.03,31322872.0
2022-08-04,301156,美农生物,14.18,14.36,14.36,14.07,27132896.0
2022-08-05,301156,美农生物,14.29,14.4,14.45,14.25,27999854.0
2022-08-08,301156,美农生物,14.4,14.6,14.61,14.36,28583292.0
2022-08-09,301156,美农生物,14.55,14.59,14.66,14.45,21523357.0
2022-08-10,301156,美农生物,14.59,14.45,14.6,14.42,20771075.0
2022-08-11,301156,美农生物,14.44,14.57,14.65,14.44,21580384.0
2022-08-12,301156,美农生物,14.57,14.45,14.6,14.42,21403497.0
2022-08-15,301156,美农生物,14.44,14.57,14.69,14.29,25122411.0
2022-08-16,301156,美农生物,14.56,14.76,14.85,14.56,33082536.0
2022-08-17,301156,美农生物,14.73,14.52,14.77,14.46,28629300.0
2022-08-18,301156,美农生物,14.52,14.51,14.63,14.42,17305954.0
2022-08-19,301156,美农生物,14.51,14.32,14.69,14.32,29864967.0
2022-08-22,301156,美农生物,14.26,14.56,14.79,14.09,25802909.0
2022-08-23,301156,美农生物,14.35,14.46,14.55,14.32,16577554.0
2022-08-24,301156,美农生物,14.49,15.07,15.23,14.43,113603582.0
2022-08-25,301156,美农生物,14.9,15.96,16.09,14.79,195824414.0
2022-08-26,301156,美农生物,15.35,15.04,15.46,14.9,113020956.0
2022-08-29,301156,美农生物,14.79,14.62,14.92,14.45,64244332.0
2022-08-30,301156,美农生物,14.45,14.92,14.96,14.38,57179857.0
2022-08-31,301156,美农生物,14.7,13.96,14.79,13.96,62137355.0
2022-09-01,301156,美农生物,14.02,13.35,14.13,11.02,42742283.0
2022-09-02,301156,美农生物,13.26,13.32,13.48,13.12,32702806.0
2022-09-05,301156,美农生物,13.31,12.98,13.45,12.82,39240739.0
2022-09-06,301156,美农生物,12.97,12.83,13.03,12.78,22323128.0
